Name,EVS ID,Histology,Do not code,Remarks,Alternate Name,Primary Site,Abbreviation,NSC number,Category,Sub-category
Liquid IL-2,,,NO,Phase I Chiron.,,Breast cancer;non-Hodgkin's lymphoma,,,"Biologic therapy (BRM, immunotherapy)",
Lithium Carbonate,,,YES,"A monovalent cation with antimanic, antipsychotic, and antidepressant activity.",467-61;C.P. 15;Carbolith;Cibalith;Duralith;Eskalith;Lithane;Lithium Citrate;Lithizine;Lithobid;Lithonate;Lithotabs;Priadel,,,16895;016895,Ancillary Agent,
Lometrexol Sodium,,,NO,,LY 264618 disodium;LY264618 disodium,,,660025,Chemotherapy,Antimetabolite--Antifolate
Lomotil,,,YES,Anti-diarrheal,Atropine and Diphenoxylate;Atropine Sulfate and Diphenoxylate Hydrochloride;Di-Atro;Dipehnatol;Diphenoxylate and Atropine Sulfate;Diphenyxylate HCl and Atropine Sulfate;Diphenyxylate Hydrochloride and Atropine;Diphenyxylate Hydrochloride and Atropine Sulfate;Diphenyxylate with Atropine;Diphenyxylate with Atropine Sulfate;Lofene;Lomanate;Lonox;Motofen;SK-Dipehnoxylate;Unilom,AIDS;Opportunistic infection,,,Ancillary Agent;AIDS drug,
Lomustine,,,NO,Cell-cycle nonspecific antineoplastic agent;alkylating agent. FDA approved uses in brain tumor and Hodgkin's lymphoma.,Belustine (nitrosourea);CeeNu;Chloroethylcyclohexylnitrosourea;ICIG 1109;RB1509;WR-139017,Brain tumors: primary or metastatic;Hodgkin lymphoma;Non-Hodgkin lymphoma,CCNU,079037;79037,Chemotherapy,Alkylating agent
Lonafarnib,,,NO,Phase II NSCLC Farnesyl protein transferase inhibitor. Schering-Plough.,Sarasar,leukemia;Lung cancer,,719467,Chemotherapy,Cytostatic agent--farnesyl transferase inhibitor
Lonidamine,,,YES,Currently being investigated as an antineoplastic. Radiation-sensitizing agent,AF-1890;Diclondazolic Acid,,,,Ancillary Agent,
Lonsurf,,,NO,"February 22, 2019 FDA has approved Lonsurf (a fixed combination of trifluridine, a nucleoside metabolic inhibitor, and tipiracil, a thymidine phosphorylase inhibitor) as a treatment for adult patients with metastatic gastric or gastroesophageal junction adenocarcinoma previously treated with at least two prior lines of chemotherapy that included a fluoropyrimidine, a platinum, either a taxane or irinotecan, and if appropriate, HER2/ neu-targeted therapy.

September 22, 2015: U. S. Food and Drug Administration approved the drug LONSURG which is a combination pill of trifluridine and tipiracil for the treatment of patients with metastatic colorectal cancer who have been previously treated with fluoropyrimidine-, oxaliplatin- , and irinotecan-based chemotherapy, an anti-VEGF biologic product, and an anti-EGFR monoclonal antibody, if RAS wild-type.",,Colorectal;Gastroesophageal,,,Chemotherapy,
Lorazepam,,,YES,An effective antianxiety and hypnotic agent for insomnia and as premedication to surgical procedures. The drug is also indicated parenterally for status epilepticus. Orally in combination with antiemetic agents it is used for the treatment of chemo.-induced emesis.,Altivan;Alzapam;Apo-Lorazepam;Ativan;Loraz;Novo-Lorazem;Nu-Loraz;Riva-Lorazepam;Wy-4036,,,,Ancillary Agent,
Lorlatinib,,NSCLC,NO,"March 3, 2021 FDA granted regular approval to lorlatinib (Lorbrena) for patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive, detected by an FDA-approved test. 

November 2, 2018:  FDA granted accelerated approval to lorlatinib (LORBRENA) for patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on crizotinib and at least one other ALK inhibitor for metastatic disease or whose disease has progressed on alectinib or ceritinib as the first ALK inhibitor therapy for metastatic disease.",Lorbrena,Lung,,,Chemotherapy,ALK Inhibitor
Lovastatin,,,NO,Extends survival for hepatoma.  Lipid regulating drugs. Inhibitor of 3-hydroxy-3-methylglutaryl-coenzyme.  Not shown to be very effective for either cancer.,6alpha-Methylcompactin;L-154803;L154803;MB-530B;Mevacor;Mevinolin#;MK-803;MK803;Monacolin K;Monacolin-K,AML;Hepatoma;stomach,,633781,Chemotherapy,Cytostatic agent--apoptosis stimulator
Loviride,,,YES,"A nonnucleoside HIV-1 reverse transcriptase inhibitor. Janssen has discontinued development of loviride (September, 1997).",R-89439,,,,AIDS drug,
Loxoribine,,,YES,Immunostimulant; vaccine adjuvant,,,,,Ancillary Agent,
Lucanthone,,,NO,Phase I Topoisomerase II inhibitor. SuperGen.,,Brain cancer,,,Chemotherapy,Cytostatic agent--topoisomerase inhibitor
Lucent Protein,,,NO,Phase II BioMedicines.,,Gastric;liver cancer,,,Ancillary Agent,Delivery mechanism
Lung Cancer Vaccine,,,NO,Phase II NSCLC Vaccine. NovRx.,,Lung cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
Lurbinectedin,,,NO,The FDA granted accelerated approval to lurbinectedin (ZEPZELCA) for adult patients with metastatic small cell lung cancer (SCLC) with disease progression on or after platinum-based chemotherapy.,Zepzelca,Lung,,,Chemotherapy,Alkylating agent
Lutrin,,,NO,"IMPORTANT INSTRUCTIONS: See STORE and SEER program manuals for coding instructions.

Feb 2, 2018 FDA has approved lutetium LU 177 dotatate, a radiolabeled somatostatin analog, for the treatment of somatostatin receptor-positive gastroen-teropancreatic neuroendocrine tumors, including foregut, midgut, and hindgut neuroendocrine tumors in adults.

Lutathera is: A radioconjugate consisting of the tyrosine-containing somatostatin analog Tyr3-octreotate (TATE) conjugated with the bifunctional, macrocyclic chelating agent tetra-azacyclododecanetetra-acetic acid (DOTA) and radiolabeled with the beta-emitting radioisotope lutetium Lu 177 with potential antineoplastic activities.",Lutetium texaphyrin;Motexafin lutetium;Lutetium Lu77;Lutathera,Breast;prostate cancer;GI sites,LU-177,695239,Radiation,See remarks for coding instructions;radioisotope conjugate
LymphoRad 131,,,NO,Phase I Human protein. Human Genome Sciences.,I-131 Labeled B-Lymphocyte Stimulator;Radiolabeled BLyS Protein,Multiple myeloma,,,Radiation,Radioisotope
LymphoScan,,,YES,Phase III NHL B-cell Diagnostic. Immunomedics.,ImmuRaid-LL2;LL2 Fab';LL2 Monoclonal antibody,Lymphoma,,,Ancillary Agent,Diagnostic only
Lynestrenol,,,NO,Progestin. Not found in Drugdex drug evaluation.,Ethynylestrenol;Exluton;Linestrenol;Org 485-50;Orgametril#;Orgametrol;Ovoresta M,,37725,37725,Hormones and hormonal mechanisms,No longer in use
Lynparza,,,NO,"December 14, 2014: The US Food and Drug Administration (FDA) approved Lynparza (olaparib) for women with advanced ovarian cancer caused by a mutated BRCA gene, and who have already had several other treatments. It’s the first drug of its kind, a PARP inhibitor, to be approved in the US. The FDA also approved a test called BRACAnalysis specifically to identify women who may be candidates for treatment with Lynparza.

August 17, 2017: The U.S. Food and Drug Administration granted regular approval to olaparib tablets (Lynparza) for the maintenance treatment of adult patients with recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer, who are in a complete or partial response to platinum-based chemotherapy.

Jan. 12, 2018: The U.S. Food and Drug Administration today expanded the approved use of Lynparza (olaparib tablets) to include the treatment of patients with certain types of breast cancer that have spread (metastasized) and whose tumors have a specific inherited genetic mutation, making it the first drug in its class (PARP inhibitor) approved to treat breast cancer, and it is the first time any drug has been approved to treat certain patients with metastatic breast cancer who have a “BRCA” gene mutation. Patients are selected for treatment with Lynparza based on an FDA-approved genetic test, called the BRACAnalysis CDx.

May 8, 2020: The FDA expanded the indication of olaparib (LYNPARZA) to include its combination with bevacizumab for first-line maintenance treatment of adult patients with advanced epithelial ovarian, fallopian tube, or primary peritoneal cancer who are in complete or partial response to first-line platinum-based chemotherapy and whose cancer is associated with homologous recombination deficiency positive status defined by either a deleterious or suspected deleterious BRCA mutation, and/or genomic instability.

May 19, 2020: The FDA approved olaparib (LYNPARZA) for adult patients with deleterious or suspected deleterious germline or somatic homologous recombination repair (HRR) gene-mutated metastatic castration-resistant prostate cancer (mCRPC), who have progressed following prior treatment with enzalutamide or abiraterone.",Olaparib,Ovary,,,Chemotherapy,PARP Inhibitor
M-Azido-Pyrimethamine Ethane Sulphonate,,,NO,Development discontinued 1989 after Phase I trials,,,MZPES,,Chemotherapy,No longer in use
M-Vax,,,NO,Phase II/III stage II and IV melanoma Autologous cell vaccine. Avax Technologies.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Vaccine
M40403,,,NO,Phase I Human superoxide dismutase. MetaPhore Pharmaceuticals.,,Other cancer,,,Ancillary Agent,Antioxidant;protectant
MAGE-12:170-178,,,NO,Phase II Peptide vaccine. NCI.,,Breast;skin cancer,,715072,"Biologic therapy (BRM, immunotherapy)",Vaccine
MAGE-A3 peptide vaccine,,,NO,Phase III melanoma 2007 Code as Other Treatment,,Melanoma,,,"Biologic therapy (BRM, immunotherapy)",Vaccine
MART-1,,,NO,Phase I metastatic melanoma Vaccine. NCI.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Cytokine
MART-1 with gp100 (in vivo) Vaccine,,,NO,Phase II melanoma Vaccine. Genzyme.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Vaccine
MAb CC-49,,,NO,"Phase I Monoclonal antibody. Patented Mab used as delivery mechanism for radioisotopes.  NCI, Dow Chemical.",LU-177;Moab CC-49/TAG72;Y-90,Lung cancer,,623111 Centocor;620537 Dow,Radiation,Radioisotope conjugated to monoclonal antibody
MAb antibody 3A1,,,NO,Phase I Monoclonal antibody. NCI.,,Breast cancer,,603570,"Biologic therapy (BRM, immunotherapy)",
MAb antibody B3,,,NO,Phase I Monoclonal antibody. NCI.,Mab-B3,Breast cancer,,651310,"Biologic therapy (BRM, immunotherapy)",
MAbHu1D10,,,NO,Phase I NHL B-cell,,,,,"Biologic therapy (BRM, immunotherapy)",
MAbHum291 anti-CD3,,,NO,"Phase I Monoclonal antibody. NCI, Protein Design Labs.",,Lymphoma,,711007,"Biologic therapy (BRM, immunotherapy)",
MDAM,,,NO,Phase I BioNumerik Pharmaceuticals.,,Other cancer,,,Chemotherapy,Antimetabolite
MDL 28574,,,YES,,,,,,AIDS drug,
MDL-72222,,,YES,Anti-emetic,Serotonin antagonist,,,,Ancillary Agent,
MDL-73147EF,,,YES,Anti-emetic,Serotonin antagonist,,,,Ancillary Agent,
MDX-010 and Melanoma Vaccine,,,NO,Phase I melanoma Vaccine. Medarex.,,Skin cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
MDX-060,,,NO,"Phase I Hodgkin's, anaplastic large cell NHL Medarex.",,Lymphoma,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody that targets CD 30 (TNF)
MDX-210,,,NO,"Phase II (breast) Phase II AML Phase II/III ovarian Monoclonal antibody. Medarex, IDM.",,Breast;leukemia;ovarian cancer,,,Chemotherapy,Cytostatic agent--anti HER2
MDX-22,,,NO,Phase II AML Monocloal antibody. Medarex.,,Leukemia,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
MDX-220 (bispecific antibody),,,NO,Phase I/II (colorectal) Phase II (prostate) Monocloncal antibody. Medarex.,,Colorectal;prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
MDX-447 (biospecific antibody),,,NO,Phase II Monoclonal antibody. Medarex.,,Breast;colorectal;head & neck;kidney cancer,,,Chemotherapy,Cytostatic agent--EGFR inhibitor
MDX-H210 (bispecific antibody),,,NO,Phase III Anti-her2/Neu + anti-CD4 monocloncal antibody. Medarex.,,Colorectal;kidney;prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody
MEDI-503/51,,,YES,Phase II HPV-11 vaccine. MedImmune.,,Cervical cancer,,,Ancillary Agent,HPV vaccine--preventive
MEDI-551,,,NO,"Phase I New drug currently in trials, code in Other Therapy",MEDI-551,B-cell malignancies,,,"Biologic therapy (BRM, immunotherapy)",Humanized Monoclonal Antibody  BRM
MG98,,,NO,"Phase II (head & neck, kidney Phase II AML MDS Antisense oligonucleotide; second generation mRNA inhibitor.  MGI Pharma.",,Head & neck;kidney cancer;leukemia,,,Chemotherapy,Antisense oligonucleotide
MGCD0103,,,NO,Methylgene. HDAC inhibitor in Phase I trials 2006.,MGCD 0103;MGCD-0103,AML;MDS,,,Chemotherapy,Cytostatic agent--histone deacetylation inhibitor
MGS rCEA (recombinant carcinoembryonic antigen),,,NO,Phase I Recombinant carcinoembryonic antigen. Protein Sciences.,,Colorectal cancer,,,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
MGV Vaccine,,,NO,"Phase I (colorectal, gastric, lung) Phase I/II (SCLC, lymphoma, neuroblastoma, sarcoma) Vaccine. Progenics Pharmaceuticals.",GM2-KLH/QS-21;GM2/GD2 gangliosides-KLH vaccine;VMO (vaccinia melanoma oncolysate vaccine),Colorectal;gastric;lung cancer;lymphoma;neuroblastoma;sarcoma,,725532;713762,"Biologic therapy (BRM, immunotherapy)",Immunotherapy active
MK-0752,,,NO,"Phase I&II New drug currently in trials, code in Other Therapy",MK-0752,brain;Breast;CNS,,,Chemotherapy,Notch inhibitor
MK-2206,,,NO,Currently in Phase 1 trials as part of a regimen. Code this agent in Other as it is not FDA approved,MK-2206,Breast;melanoma,,,Chemotherapy,Protein inhibitor
MK-5108,,,NO,"i New drug currently in trials, code in other therapy",,solid tumors,,,Chemotherapy,Aurora-A kinase inhibitor
MLN518,,,NO,Phase I AML Phase I AML FLT-3 receptor tyrosine kinase inhibitor. Millenium Pharmaceuticals.,CT 53518;CT-53518;CT53518,Leukemia,,,Chemotherapy,Cytostatic agent--receptor tyrosine kinase inhibitor
MLN576,,,NO,Phase I Dual inhibition of topoisomerase I and II. Millenium Pharmaceuticals.,,Other cancer,,,Chemotherapy,Cytostatic agent--topoisomerase inhibitor
MLN591,,,NO,Phase I Anti-prostate specific membrane antibody. Millenium Pharmaceuticals.,J591;MLN2704,Prostate cancer,,,"Biologic therapy (BRM, immunotherapy)",Monoclonal antibody  for prostate specific membrane
MN rgp120/HIV-1,,,YES,,,,,,AIDS drug,
MONJUVI,,diffuse large B-cell lymphoma (DLBCL),NO,"July 31, 2020 The FDA granted accelerated approval to tafasitamab-cxix (MONJUVI), a CD19-directed cytolytic antibody, indicated in combination with lenalidomide for adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL) not otherwise specified, including DLBCL arising from low grade lymphoma, and who are not eligible for autologous stem cell transplant.",tafasitamab-cxix,,,,"Biologic therapy (BRM, immunotherapy)",CD19-directed cytolytic antibody
